更新时间,公司名称,企业性质,行业分类,招聘岗位,工作地点,截止时间,届次,学历要求,批次,公告来源,公告链接,投递链接,专业要求,是否笔试,⚠筛选前先看使用说明！,父记录,父记录 2,字段 1
2026/07/10,长发小寨,民企,贸易/批发/零售,AI管培生,广州,尽快投递,2027届,"本科,硕士,博士",秋招提前批,长发小寨,https://mp.weixin.qq.com/s/AcOSvCv8pVo6Ce_uBcN_fw,https://mp.weixin.qq.com/s/AcOSvCv8pVo6Ce_uBcN_fw,/,/,,,,
2026/07/10,中国农发集团,央国企,农林牧渔,集团总部党委巡视办专业技术岗位,北京,2026-07-15,不限届,"本科,硕士,博士",社招,国聘,https://mp.weixin.qq.com/s/HGmkeg4J1hFU5U7E3jQ51g,https://www.iguopin.com/company/jobs?id=10685317476212826,/,/,,,,
2026/07/10,中国外贸信托,央国企,金融业,金融科技岗、固定收益岗、证券信托岗、投资管理岗、家族财富岗,北京,尽快投递,"2026届, 2027届","硕士,博士",暑期实习,中国外贸信托,https://mp.weixin.qq.com/s/G3MIF2djDjwjA7J7msmx8w,https://mp.weixin.qq.com/s/G3MIF2djDjwjA7J7msmx8w?scene=1&click_id=2029085274,/,/,,,,
2026/07/10,卓纬律师事务所,民企,咨询,资本市场律师、国际贸易与合规律师助理、公司业务部律师、公司业务部实习生、资本市场部实习生、争议解决部实习生、竞争与反垄断部实习生,"北京, 深圳, 上海, 浦东, 东城, 南山",尽快投递,2027届,"硕士,博士",实习,卓纬律师事务所,https://mp.weixin.qq.com/s/vLGIIViT5rlCG3KuNIm_0w,邮箱：hr@chancebridge.com,法学,/,,,,
2026/07/10,安恒信息,民企,IT/互联网/游戏,"网络安全研究与开发实习、Go开发实习、C/C++开发实习、Java开发实习、Python开发实习、数据分析实习、隐私计算方向博士实习、自动化渗透测试方向博士实习、AI算法与工程化方向

数据安全方向

AI安全方向","成都, 杭州",尽快投递,2027届,"本科,硕士,博士",实习,安恒信息,https://mp.weixin.qq.com/s/_pfebdZnEYbNWtfUmzbmFQ,https://mp.weixin.qq.com/s/_pfebdZnEYbNWtfUmzbmFQ,/,/,,,,
2026/07/10,北京新东方,民企,教育/培训/科研,教学培训生(实习转正答辩通过可提前锁定教师offer),北京,尽快投递,2027届,"本科,硕士,博士",实习,北京新东方,https://mp.weixin.qq.com/s/Ccehj_URC8FQVAuq0y_Lfg,https://mp.weixin.qq.com/s/Ccehj_URC8FQVAuq0y_Lfg,/,/,,,,
2026/07/10,歌尔股份,民企,机械/制造业,海外留学生暑期OpenDay,青岛,尽快投递,"2027届, 2028届","本科,硕士,博士",暑期实习,歌尔股份,https://mp.weixin.qq.com/s/XCEjtI4HXmOng3Y6bQCXuw,https://mp.weixin.qq.com/s/XCEjtI4HXmOng3Y6bQCXuw,/,/,,,,
2026/07/10,国际清洁交通委员会,事业单位,交通/物流/仓储,传播实习生、重型车项目实习生、电动汽车充电基础设施实习生、电动汽车项目实习生,北京,尽快投递,"2027届, 2028届, 2029届","本科,硕士,博士",实习,国际清洁交通委员会,https://mp.weixin.qq.com/s/QfD4OpQwf5I9orhegB6vpA,https://icct.bamboohr.com/careers/386,/,/,,,,
2026/07/10,快手,民企,IT/互联网/游戏,校园大使,全国多地,2026-07-31,2027届,"本科,硕士,博士",秋招专场,快手,https://mp.weixin.qq.com/s/S6Z6WwzI58EjqfEe6E-vDg,https://v.wjx.cn/vm/mKNsDKq.aspx,/,/,,,,
2026/07/10,梅赛德斯-奔驰,外企,机械/制造业,传感器在线标定算法实习生、智能座舱AI智能开发实习生、车型管理实习生、信息安全实习生、战略与人工智能实习生、技术项目管理实习生、ML企业应用软件实习生、AI&数据产品实习生、人力数据分析与AI赋能实习生、座舱娱乐系统项目硬件工程师实习生、汽车数字钥匙系统及前瞻工程师实习生、汽车市场分析与战略实习生、汽车外饰零件竞品分析实习生、行泊一体智驾系统实习生、驾驶辅助系统研发实习生、研发测试运营数字化管理实习生、采购供应商市场格局分析与AI数据分析实习生、企业房地产空间规划与项目支持实习生,北京,2026-07-12,"2027届, 2028届, 2029届","本科,硕士,博士",实习,梅赛德斯-奔驰,https://mp.weixin.qq.com/s/DygPg6QOIwTp9elS0gGi5g,"https://career.mercedes-benz.com.cn/mobile-web-more-jobs/13687/?wechatShare=1&aj_source=wechat_mb&aj_code=wechatarticle_20260709#page=1&page_size=10&keywords=&type=&ji=0&jt=0&js=&jwt=&rt=&city=&region=&area=&refj=&jtitle=&order_by=&experience_required=&jid=209852,211742,210433,212476,212497,211713,211395,211114,209891,212542,212176,210798,208581,211743,210197,207524,212614,212613",/,/,,,,
2026/07/10,企鹅兰登,外企,文化/传媒/广告/体育,新媒体运营实习生,北京,2026-07-20,2027届,"本科,硕士,博士",实习,企鹅兰登,https://mp.weixin.qq.com/s/ziyzAluUqpnkDKxXZiZ7UA,邮箱：mowang@penguinrandomhouse.cn.com,/,/,,,,
2026/07/10,淘宝闪购,民企,IT/互联网/游戏,校园大使(校园使者、人才推荐官、活动策划王、品牌推广官),全国多地,尽快投递,"2027届, 2028届, 2029届","本科,硕士,博士",秋招专场,淘宝闪购,https://mp.weixin.qq.com/s/RQtt9RvTkXTLg1J6zh_F9Q,邮箱：tbshangou-campus@alibaba-inc.com,/,/,,,,
2026/07/10,中国经济时报社,事业单位,文化/传媒/广告/体育,网络新闻实习生,北京,2026-07-15,"2026届, 2027届, 2028届, 2029届","本科,硕士,博士",实习,中国经济时报社,https://mp.weixin.qq.com/s/kZuYaV9tYlqJAFuN_jUFFA,邮箱：cetadmin3505@163.com,/,/,,,,
2026/07/09,百度,民企,IT/互联网/游戏,技术类;产品类;政企类;销售类;综合类,"上海, 保定, 北京, 南京, 大连, 广州, 成都, 杭州, 深圳, 苏州, 郑州",尽快投递,2027届,"本科,硕士,博士",秋招专场,百度招聘,https://mp.weixin.qq.com/s/fbmVnLXbD3UVMQ86VQC1FQ,https://talent.baidu.com/jobs/list?recruitType=GRADUATE,/,有笔试,,,,
2026/07/09,超聚变,民企,通信/电子/半导体,超聚变2027届校招OPEN DAY,郑州,2026-07-24,2027届,"本科,硕士,博士",秋招提前批,超聚变,https://mp.weixin.qq.com/s/zwNCI5_4ZLT-4M0IEnPJaQ,https://form.xfusion.com/cn/get-information/open-day-2,/,/,,,,
2026/07/09,中兴微电子,其他,通信/电子/半导体,IC设计;IC验证;IC后端;IC封测与可靠性;算法;软件;硬件;IC版图;IC技术支撑,"上海, 北京, 南京, 成都, 武汉, 深圳, 西安, 长沙",尽快投递,2027届,"本科,硕士,博士",秋招专场,中兴通讯招聘,https://mp.weixin.qq.com/s/SbEMYrE20nSvHWZ36AGxjQ?scene=1,https://app.mokahr.com/campus-recruitment/sanechips/102705?locale=zh-CN#/,"微电子,电子信息,计算机及相关专业",有笔试,,,,
2026/07/09,超聚变(实习),民企,通信/电子/半导体,销售经理实习生;产品与解决方案销售经理实习生;智能稽查实习生;硬件开发工程师（实习生）;运维工程师（办公软件方向）（实习生）;FDE前端实施工程师（实习生）;人力助理（实习生）,"上海, 东莞, 北京, 合肥, 广州, 深圳, 西安, 郑州",尽快投递,2027届,"本科,硕士,博士","实习, 暑期实习",超聚变,https://career.xfusion.com/OfficialPortal/?sessionid=#/traineeList,https://career.xfusion.com/OfficialPortal/?sessionid=#/traineeList,/,/,,,,
2026/07/09,温氏股份,民企,农林牧渔,实习生岗位，动物医学、动物科学专业优先,"博尔塔拉蒙古自治州, 吉林, 天津, 重庆, 全国多地",2026-08-31,2027届,"本科,硕士,博士","实习, 暑期实习",温氏股份招聘,https://mp.weixin.qq.com/s/qwEOCOG4-xKaMSgu6lSo9g?scene=25&id=BFeKW&Esessionid=&click_id=3#wechat_redirect,https://mp.weixin.qq.com/s/qwEOCOG4-xKaMSgu6lSo9g,"动物医学,动物科学",/,,,,
2026/07/09,睿励科学,民企,通信/电子/半导体,系统工程师;算法应用工程师;算法工程师;理工科博士;技术支持工程师,上海,尽快投递,2027届,"本科,硕士,博士",秋招专场,RSIC睿励招聘,https://mp.weixin.qq.com/s/n_rX4Iq3jVcmAbyVjiRxHw,https://app.mokahr.com/campus-recruitment/ruili/43376#/jobs,数学、物理、光学、微电子、精密仪器、材料、电子工程、自动化、信号与系统等理工科相关专业,/,,,,
2026/07/09,北方华创,央国企,通信/电子/半导体,电气工程师 软件工程师 机械工程师 半导体工艺工程师 射频工程师 光学工程师 系统工程师 销售工程师 软件测试工程师 博士专项岗位,"上海, 北京, 厦门, 合肥, 广州, 武汉, 深圳, 苏州, 西安",尽快投递,2027届,"本科,硕士,博士",秋招提前批,北方华创招聘,https://mp.weixin.qq.com/s/fbpIIY4eoRNHVPiTN920Ng,https://career.naura.com/campus/jobs?memory={}&silence=1,/,/,,,,
2026/07/09,中国兵器二〇六所,央国企,机械/制造业,雷达总体设计师;电子对抗系统设计师;信号与信息处理设计师;AI架构/算法设计师;总体结构设计师;通信信号处理架构设计师;微波量子/光子设计师;大功率微波总体/防护技术设计师;芯片设计师;数字电路设计师;微波电路设计师;阵列前端设计师;伺服控制设计师;供配电线路设计师;智能制造工程师,西安,尽快投递,"2026, 2027届","硕士,博士",秋招专场,西安航天基地科创人才,https://mp.weixin.qq.com/s/rbDL1CENfnH0lI_kWQDWKw,https://xadzgc.zhiye.com/campus/jobs,电子信息类相关专业，人工智能与控制类相关专业,/,,,,
2026/07/09,中电福富,央国企,IT/互联网/游戏,AI架构师;AI测试架构师;本体建模工程师;AI需求分析设计师;AI应用开发工程师;系统架构师(BSS-计费/CRM);高级C++开发工程师;高级数据标注架构师;中高级JAVA开发工程师;大数据开发工程师;产品经理;高级项目经理;高级运维工程师(BSS-CRM),"上海, 北京, 厦门, 福州, 长沙",尽快投递,不限届,"本科,硕士,博士",社招,福富公司招聘,https://mp.weixin.qq.com/s/Re9Fak__ZyhxtL0iHgBIuQ?scene=25&id=BFeKW&Esessionid=&click_id=3#wechat_redirect,https://www.ffcs.cn/recruitment/frontend-client/index.html#/resumer-list?rid=1,/,/,,,,
2026/07/09,中国农发集团,央国企,农林牧渔,集团总部党委巡视办专业技术岗位,北京,2026-07-15,不限届,"本科,硕士,博士",社招,国聘,https://mp.weixin.qq.com/s/HGmkeg4J1hFU5U7E3jQ51g,https://www.iguopin.com/company/jobs?id=10685317476212826,/,/,,,,
2026/07/09,中国电科29所,央国企,通信/电子/半导体,电子与通信类岗位;计算机与软件类岗位;控制与仪器类岗位;机械与工程类岗位;其他类岗位,成都,尽快投递,2026届,"本科,硕士,博士",秋招专场,中国电科,https://mp.weixin.qq.com/s/u_M-zKLCBsJvNPxEbZNzsw,https://campus.51job.com/cetc29,"电子与通信类:电子科学与技术,信息与通信工程,集成电路科学与工程等;计算机与软件类:计算机科学与技术,软件工程,网络空间安全等;控制与仪器类:控制科学与工程,仪器科学与技术等;机械与工程类:机械工程,动力工程及工程热物理,航空宇航科学与技术等;其他类:数学,化学,物理学,力学,光学工程,材料科学与工程等",有笔试,,,,
2026/07/09,伽利略,民企,智能硬件,运控算法工程师;具身智能算法工程师;导航算法工程师;结构工程师;全球销售及其他岗位,天津,尽快投递,2027届,"本科,硕士,博士",秋招专场,伽利略Galileo,https://mp.weixin.qq.com/s/FIpt6QfCWum8QAINurY3zA,https://mp.weixin.qq.com/s/FIpt6QfCWum8QAINurY3zA,/,/,,,,
2026/07/08,中电福富,央国企,IT/互联网/游戏,AI应用开发工程师;JAVA开发工程师;云集成工程师;智能化交付工程师,福州,尽快投递,2026届,"本科,硕士,博士",春招补招,福富公司招聘,https://mp.weixin.qq.com/s/i2Dw_oF5y5yf5dA2Zk46Qg,https://www.ffcs.cn/recruitment/frontend-client/index.html#/resumer-list?rid=2,/,/,,,,
2026/07/08,中国邮政储蓄银行-甘肃省分行,央国企,金融业,经营管理实习生,"临夏回族自治州, 兰州, 嘉峪关, 天水, 定西, 平凉, 庆阳, 张掖, 武威, 甘南藏族自治州, 白银, 酒泉, 金昌, 陇南",2026-07-14,2027届,"本科,硕士,博士",暑期实习,兰大就业,https://mp.weixin.qq.com/s/m_c_KCKfG6Ow-l4pasqxbw,https://psbcgssx.zhaopin.com/job/index.html,金融、经济、数理统计、财务会计、法律、管理、信息技术等相关专业,/,,,,
2026/07/08,河源联禾能源,央国企,能源/化工/环保,电力生产大类;经营管理类,河源,2026-07-17,2026届,"本科,硕士,博士",春招专场,联禾能源,https://mp.weixin.qq.com/s/qwbw1HWfO459YjQ5h4cyyQ,https://hylh2026xiaoyuan.zhaopin.com/jobs/index.html,/,有笔试,,,,
2026/07/08,中国建研院,央国企,房地产业/建筑业,"科研技术岗，电气设计，暖通设计，给排水设计，建筑设计，结构设计，建筑方案设计，方案设计，可持续咨询助理，结构及抗震试验，技术服务，市场推广，智能建造，城市体检，综合研究助理，气候住宅公园研究助理，可持续建筑，好房子与住宅声学研究，人力资源管理岗，会计岗，党务管理岗，施工员，业务助理（设计员）, 普通作业人员，规划设计，室内设计，景观设计，检测技术岗，产品设计，绿色低碳咨询，建筑科研岗，建筑设计助理","上海, 北京, 海口, 石家庄, 青岛",尽快投递,2027届,"本科,硕士,博士","实习, 暑期实习",中国建研院,https://mp.weixin.qq.com/s/KxmoHn8i65CSuN_71f7VtA,http://hr.cabr.com.cn:28895/zp.html#/channel/05,/,/,,,,
2026/07/08,腾盾科创,民企,智能硬件,机务实习岗;站务实习岗;人力资源实习岗;采购实习岗;生产操作实习岗;工艺实习岗;指控系统设计实习岗;会计实习岗;综合保障设计实习岗;无人机控制律实习岗;集群飞行器硬件集成调试实习岗,"成都, 自贡, 达州",尽快投递,2027届,"本科,硕士,博士","实习, 暑期实习",四川腾盾科创,https://mp.weixin.qq.com/s/eiMb79qttL-CZkf6lKXRYA,https://mp.weixin.qq.com/s/eiMb79qttL-CZkf6lKXRYA,"飞行器设计,机械工程,工程力学,通信工程,航空宇航科学与技术,信息技术,人工智能,自动化,计算机科学与技术",/,,,,
2026/07/08,航空工业雷达所,央国企,机械/制造业,信息与通信工程类、控制科学与工程类、电子科学与技术类、计算机科学与技术类、适航类、电气工程类、机械工程类等,无锡,2026-07-20,2027届,"硕士,博士",暑期实习,航空工业雷达所,https://mp.weixin.qq.com/s/8BAqRBp_uaTsJGHg3Z3k9w,https://mp.weixin.qq.com/s/8BAqRBp_uaTsJGHg3Z3k9w,信息与通信工程类、控制科学与工程类、电子科学与技术类、计算机科学与技术类、适航类、电气工程类、机械工程类等,/,,,,
2026/07/08,广东华润银行,央国企,金融业,分行中后台业务实习生;分行前台业务实习生;分行营销业务实习生;分行运营服务实习生,"东莞, 中山, 佛山, 广州, 惠州, 江门, 深圳, 珠海, 肇庆",尽快投递,2027届,"本科,硕士,博士","实习, 暑期实习",华润银行微讯,https://mp.weixin.qq.com/s/9lqcnrGbtPv-EimdLf4wyg,https://wecruit.hotjob.cn/SU638d61cd0dcad444a273670c/pb/interns.html,科学、工程、数学、金融、经济、财会、市场营销、管理学相关专业优先,有笔试,,,,
2026/07/08,贝恩公司,外企,财务/审计/税务,全职助理顾问;全职顾问;助理顾问实习生;暑期实习生,"上海, 北京, 香港",尽快投递,2027届,"本科,硕士,博士","暑期实习, 秋招专场, 社招",贝恩公司,https://mp.weixin.qq.com/s/b-_mqKRyCYPflnNIHQjVvA,https://mp.weixin.qq.com/s/b-_mqKRyCYPflnNIHQjVvA,/,/,,,,
2026/07/08,库犸科技,民企,智能硬件,结构工程师;硬件工程师;嵌入式工程师;传感器设计工程师;GNSS算法工程师;电机驱动软件工程师;测试工程师;感知算法工程师;标定算法工程师;SLAM算法工程师;规划算法工程师;电机结构工程师;具身智能算法工程师,"东莞, 成都, 深圳",2026-07-31,2027届,"本科,硕士,博士",秋招提前批,Mammotion库犸招聘,https://mp.weixin.qq.com/s/xTyEGJFFX-evTC32EMA_Lw,https://mammotion.jobs.feishu.cn/campus_recruitment/position/list?project=7611843487977654537&spread=DN78X6K,/,/,,,,
2026/07/08,欧莱雅中国,外企,快速消费品,科技青年咖入营：皮肤科学赛道、北亚运营赛道、研发创新赛道；,上海,尽快投递,2027届,"本科,硕士,博士","实习, 暑期实习",欧莱雅校园招聘,https://mp.weixin.qq.com/s/0YLAYyVJDSmIYroVoTfrhQ,https://u.hrtps.com/r/dpKbWPcuw,/,/,,,,
2026/07/08,攀枝花农商银行,其他,金融业,市行部门实习岗;支行网点实习岗,攀枝花,2026-07-10,2027届,"本科,硕士,博士",暑期实习,攀枝花农商行,https://mp.weixin.qq.com/s/-dVHC_MSfLyGCeKbls3pHg,https://mp.weixin.qq.com/s/-dVHC_MSfLyGCeKbls3pHg,/,/,,,,
2026/07/07,顺络电子,民企,通信/电子/半导体,生产管理工程师;质量工程师,深圳,尽快投递,2026届,"本科, 硕士, 博士",春招补招,顺络招聘,https://mp.weixin.qq.com/s/SS0D9MOqcFkV0Y_dxV_EBw,https://app.mokahr.com/social-recruitment/sunlord/172153?locale=zh-CN#/,"工业工程,材料化学",/,,,,
2026/07/07,宝时得,合资,机械/制造业,集团管培生;海外市场;算法研发岗;软件研发岗;质量技术岗,苏州,尽快投递,2027届,"本科, 硕士, 博士","实习, 暑期实习",宝时得HR,https://mp.weixin.qq.com/s/963ZfBd_oorBehgAkGSoAw,https://wecruit.hotjob.cn/SU64ae431b2f9d24760adab44f/mc/position/intern,/,有笔试,,,,
2026/07/07,启航物联,民企,交通/物流/仓储,财务会计;汽运专员（梧州）;内贸销售专员;外贸外勤专员,"广州, 梧州",尽快投递,2026届,"本科, 硕士, 博士",秋招专场,启航物联集团,https://mp.weixin.qq.com/s/Qz5CIrPPpn1JsKiUkGxDvQ,https://mp.weixin.qq.com/s/Qz5CIrPPpn1JsKiUkGxDvQ,/,/,,,,
2026/07/07,阶跃星辰,民企,IT/互联网/游戏,大语言模型;多模态;Agent;语音;端侧;Infra,"上海, 北京",尽快投递,2027届,"本科, 硕士, 博士","暑期实习, 秋招专场",阶跃星辰,https://mp.weixin.qq.com/s/AEFCx_Up_NTxigtC2XAo2A,https://app.mokahr.com/campus-recruitment/step/141903#/jobs?keyword=27%E5%B1%8AStepstar&page=1&anchorName=jobsList,/,/,,,,
2026/07/07,希奥端,民企,通信/电子/半导体,算法架构工程师;芯片设计/验证工程师;软件开发/测试工程师;硬件开发/测试工程师;芯片销售工程师,"北京, 南京, 天津, 成都, 杭州, 深圳",尽快投递,2027届,"本科, 硕士, 博士",秋招专场,希奥端招聘,https://mp.weixin.qq.com/s/FQhy4YH6XX_BXQwNghCHiQ,https://mp.weixin.qq.com/s/FQhy4YH6XX_BXQwNghCHiQ,/,有笔试,,,,
2026/07/07,海天集团,民企,机械/制造业,机械类 电气类 自动化类 财务类专业,"佛山, 宁波, 广州, 海外",尽快投递,2027届,"本科, 硕士, 博士",秋招专场,海天招聘,https://mp.weixin.qq.com/s/CeilGC0h5l9v8L8CpMn9lg,https://haitian.zhiye.com/5/detail?jobAdId=aa2088b8-00fd-46b4-8ef4-8f42f09cdfa0,"机械类,电气类,自动化类",有笔试,,,,
2026/07/07,途途课堂,民企,教育/培训/科研,二讲老师;学习顾问,"成都, 武汉, 西安, 郑州",尽快投递,2027届,"本科, 硕士, 博士",秋招提前批,途个offer,https://mp.weixin.qq.com/s/d0GjLlLAMY8kt18Dq0ybOQ,https://jsj.top/f/Vj2AGC?sessionid=,/,有笔试,,,,
2026/07/07,德之馨,外企,快速消费品,技术研发;供应链;销售市场,上海,尽快投递,2027届,"本科, 硕士, 博士","实习, 暑期实习",德之馨风味营养与健康,https://mp.weixin.qq.com/s/DRg6OQP0QLRqHWJEVACO3A,https://mp.weixin.qq.com/s/DRg6OQP0QLRqHWJEVACO3A,"香精香料相关专业,食品科学与工程,化学相关专业,供应链管理,市场营销,商科相关专业",/,,,,
2026/07/07,杰华特,民企,通信/电子/半导体,模拟IC设计工程师;系统工程师;AI工程师;数字IC设计工程师(前端);数字IC验证工程师;数字后端工程师;应用工程师;功能安全工程师;数模混合验证工程师;器件工程师;模型工程师;PDK工程师;封装设计工程师;产品工程师;失效分析工程师;良率提升工程师;测试开发工程师;版图设计助理工程师;应用助理工程师;产品助理工程师;失效分析助理工程师;良率提升助理工程师;测试开发助理工程师;量产测试助理工程师;可靠性助理工程师;客户质量助理工程师;设备助理工程师;NPI助理工程师;现场应用工程师;销售工程师,"上海, 南京, 厦门, 成都, 杭州, 深圳, 珠海, 西安",尽快投递,2027届,"本科, 硕士, 博士",秋招专场,杰华特招聘,https://mp.weixin.qq.com/s/S2rB6GhNhuJpWAeikFU2HA,https://joulwatt.zhiye.com/campus/jobs,硕博：微电子学与固体电子学、集成电路工程、电力电子与电力传动、电气工程、电子科学与技术、控制工程、电子封装、计算机（人工智能、机器学习）等相关专业；本科：电子、电气类相关专业,有笔试,,,,
2026/07/07,腾讯-混元,民企,IT/互联网/游戏,招聘方向：Ai infra、大语言模型、AI Data、多模态模型；,"上海, 北京, 深圳",尽快投递,"2026, 2027届","本科, 硕士, 博士",秋招专场,腾讯招聘,https://mp.weixin.qq.com/s/JR6IL2WKfX-rK8UULJ1Hkg,https://mp.weixin.qq.com/s/JR6IL2WKfX-rK8UULJ1Hkg,/,/,,,,
2026/07/07,SharkNinja,外企,耐用消费品,供应链实习生 工业设计实习生 研发实习生；,深圳,尽快投递,2027届,"本科, 硕士, 博士","实习, 暑期实习",SharkNinja招聘,https://mp.weixin.qq.com/s/6e51zEl8IKNpGk-8VWcY5w,https://mp.weixin.qq.com/s/6e51zEl8IKNpGk-8VWcY5w,/,/,,,,
2026/07/07,罗兰贝格,外企,财务/审计/税务,罗兰贝格2026秋季PTA项目,"上海, 北京, 台北, 广州, 香港",2026-07-13,2027届,"本科, 硕士, 博士","实习, 秋招专场",罗兰贝格管理咨询,https://mp.weixin.qq.com/mp/wappoc_appmsgcaptcha?poc_token=HFgfTWqjoe_lGDr3AhHuZiOM-yY5hYo5gIAjVKyw&target_url=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FD_h4wgXLzauDFfO4iYOwYg,https://jobs.smartrecruiters.com/ni/RolandBerger/aa97e7f7-4c24-44f6-9c03-cef522c4b718-pta-program-2026-h2?sessionid=,专业不限,/,,,,
2026/07/07,博纳能环,民企,能源/化工/环保,技术服务工程师、工艺工程师、机械工程师、电气工程师\\化学工程与工艺、应用化学、能源与动力工程、环境工程、环境科学、冶金工程、石油工程、电气工程及其自动化、电气工程与智能控制、电力系统及其自动化、自动...,南京,尽快投递,2026届,"本科, 硕士, 博士",春招补招,博纳能环,https://mp.weixin.qq.com/s/2dqGwDtrWriNWLyaArj0wg,https://rd6.zhaopin.com/app/job,"工艺技术类：化学工程与工艺,应用化学,能源与动力工程,环境工程,环境科学,冶金工程,石油工程；电气仪表类：电气工程及其自动化,电气工程,智能控制,电力系统及其自动化,自动化,测控技术与仪器,工业自动化仪表；机械装备类：机械设计制造及其自动化,材料成型及控制工程,过程装备与控制工程,机械电子工程,智能制造工程",/,,,,
2026/07/07,菲婷丝,外企,快速消费品,药事(RA);供应商品质管理(SQ);消费者洞察(CMI);电商运营(EC sales),上海,尽快投递,2027届,"本科, 硕士, 博士","实习, 暑期实习",上科大学生生涯与就业指导中心,https://mp.weixin.qq.com/s/9_r7WARLTCZMrqzXXDh4ew,https://mp.weixin.qq.com/s/9_r7WARLTCZMrqzXXDh4ew,/,/,,,,
2026/07/07,中国能建江苏院,央国企,房地产业/建筑业,暑期实习生\\海洋能源工程、氢能科学与工程、新型储能技术、储能科学与工程、电气工程、电力系统及其自动化、高电压与绝缘技术、电力电子、结构工程、岩土工程、测绘工程、水文与水资源、热能与动力工程、动力工程...,南京,2026-07-15,2027届,"本科, 硕士, 博士",暑期实习,江苏省电力设计院,https://mp.weixin.qq.com/s/5m8OUTTiB28_kYt5mDGNzA,https://mp.weixin.qq.com/s/5m8OUTTiB28_kYt5mDGNzA,海洋能源工程、氢能科学与工程、新型储能技术、储能科学与工程、电气工程、电力系统及其自动化、高电压与绝缘技术、电力电子、结构工程、岩土工程、测绘工程、水文与水资源、热能与动力工程、动力工程及工程热物理、技术经济及管理、工业工程、造价管理,/,,,,
2026/07/07,安贤投资,民企,金融业,"投资经理,量化研究员,机器学习研究员,量化开发工程师,AGENT HARNESS 研究工程师","上海, 北京, 海外",尽快投递,2027届,"本科, 硕士, 博士",暑期实习,AXQ安贤投资,https://mp.weixin.qq.com/s/hjKf1L5ppeOL5Iy5JDn5Mw,https://job-boards.greenhouse.io/axq,/,/,,,,
2026/07/07,郑州商品交易所,央国企,金融业,经济金融、会计、法律、数学统计、计算机、能源化工、交通运输,郑州,2026-07-20,2027届,"硕士, 博士",暑期实习,郑商所发布,https://mp.weixin.qq.com/s/yFHRMdapc_GtluIzfQW7eg,https://xyz.51job.com/External/Apply.aspx?CtmID=8108967,经济金融、会计、法律、数学统计、计算机、能源化工、交通运输等相关专业,/,,,,
2026/07/07,天津市轻工业设计院,央国企,房地产业/建筑业,党群工作部干事,天津,2026-07-10,"2024, 2025, 2026届","本科, 硕士, 博士",春招补招,活力渤轻,https://mp.weixin.qq.com/s/yYifTEVP0ePWL2gqo3qM0Q,https://mp.weixin.qq.com/s/yYifTEVP0ePWL2gqo3qM0Q,"思政,中文,历史学,哲学,新闻,行政管理等相关专业",有笔试,,,,
2026/07/07,滔搏,民企,快速消费品,用户运营实习生;市场营销实习生;商品实习生;直播运营实习生,上海,尽快投递,2027届,"本科, 硕士, 博士","实习, 暑期实习",TOPSPORTS滔搏加入我们,https://mp.weixin.qq.com/s/fREQ6iSwA3u6Jeaw_OYu2g,https://mp.weixin.qq.com/s/fREQ6iSwA3u6Jeaw_OYu2g,不限专业,/,,,,
2026/07/07,谱星航天,民企,机械/制造业,电源系统设计师;通信系统设计师;硬件系统设计师;嵌入式软件设计师;姿轨控设计师;结构机构设计师;光机结构设计师;热控系统设计师;逻辑软件设计师;光学系统设计师;应用软件设计师;综合测试工程师;环境试验工程师;光机装调工艺师;热控工艺师;电装工艺师;遥感大模型算法工程师;多模态大模型算法工程师;计算机视觉算法工程师;深度学习算法工程师;AI算法实习生,"上海, 长春",尽快投递,2027届,"本科, 硕士, 博士","实习, 秋招专场",谱星航天,https://mp.weixin.qq.com/s/-BRmNfK_w_HPId-jdndPGg,https://mp.weixin.qq.com/s/-BRmNfK_w_HPId-jdndPGg,长春谱星空间技术有限公司需求：航空宇航科学与技术、控制科学与工程、信息与通信工程、电子科学与技术、电气工程、计算机科学与技术、软件工程、机械工程、光学工程、仪器科学与技术、动力工程及工程热物理、力学、材料科学与工程、测绘科学与技术；上海谱星智能科技有限公司需求：计算机、人工智能、遥感科学与技术、测绘工程/GIS、电子信息、应用数学,/,,,,
2026/07/07,仲信国际融资租赁,民企,金融业,"金融营销管培生,征信专员\\金融、投资、财务、管理","上海, 东莞, 南京, 厦门, 宁波, 武汉, 深圳, 苏州, 长沙",尽快投递,"2026, 2027届","本科, 硕士, 博士",秋招专场,仲信国际融资租赁,https://mp.weixin.qq.com/s/lPZpuQFAmVRktMYkSK7FYQ,https://mp.weixin.qq.com/s/lPZpuQFAmVRktMYkSK7FYQ,金融、投资、财务、管理类专业,/,,,,
2026/07/07,广州质量检验研究院,事业单位,检测/认证,"检验辅助岗,业务辅助岗\\物理、化学、生物、电子电气、专业不限",广州,尽快投递,"2027, 2028届","本科, 硕士, 博士","实习, 暑期实习",广州质检院,https://mp.weixin.qq.com/s/40d_4KySVhZstYom6_GDgA,https://mp.weixin.qq.com/s/40d_4KySVhZstYom6_GDgA,"检验辅助岗相关专业优先,业务辅助岗专业不限",/,,,,
